venue,start_date,latitude,longitude,temperature,precipitation,wind_speed
Rangiri Dambulla International Stadium,2018-07-29,7.89,80.8,,,
"Brian Lara Stadium, Tarouba, Trinidad",2023-08-01,10.4389,-61.4268,28.7,0.0,6.8
Harare Sports Club,2008-11-20,-17.815,31.0456,20.1,15.0,
R Premadasa Stadium,2011-08-20,6.9269,79.8612,28.2,0.0,
"Southend Club Cricket Stadium, Karachi",2022-06-01,24.9067,67.0619,31.6,0.0,23.4
"Lord's, London",2023-09-15,51.531,-0.2648,17.6,0.0,5.7
Seddon Park,2008-02-12,-37.6817,175.2703,,,
"New Wanderers Stadium, Johannesburg",2003-02-16,-26.2044,27.9506,19.4,,11.5
Trent Bridge,2014-08-30,52.9444,-1.1447,15.2,,23.4
"Wanderers Cricket Ground, Windhoek",2023-03-30,-22.5728,17.0811,21.9,0.0,10.0
Adelaide Oval,2008-02-17,-34.9285,138.6007,29.9,0.0,17.5
"Hazelaarweg, Rotterdam",2022-08-21,51.9287,4.4867,18.7,0.0,11.9
Sydney Cricket Ground,2007-01-21,-33.8688,151.2093,28.4,0.0,24.7
"Civil Service Cricket Club, Stormont, Belfast",2024-08-18,54.6024,-5.9337,15.7,0.0,14.0
The Rose Bowl,2004-09-22,34.1425,-118.1097,23.9,0.0,7.9
Harare Sports Club,2016-06-13,-17.815,31.0456,12.3,,12.0
Seddon Park,2015-01-15,-37.6817,175.2703,,,
"Zahur Ahmed Chowdhury Stadium, Chattogram",2023-03-06,22.2353,91.7906,26.5,0.0,9.1
Lord's,2010-09-20,51.5311,-0.2008,17.2,0.0,17.4
ICC Academy,2018-01-23,18.9389,72.8258,24.3,,10.0
Trent Bridge,2019-06-03,52.9444,-1.1447,13.9,,15.8
Melbourne Cricket Ground,2004-01-29,-37.822,144.9635,14.9,7.0,
Diamond Oval,2018-05-11,-28.7297,24.7619,18.9,,16.8
Mannofield Park,2014-05-09,57.1436,-2.1181,9.7,4.0,8.3
Kinrara Academy Oval,2019-12-14,3.1236,101.6918,,,
AMI Stadium,2011-01-29,-43.5389,172.6361,16.7,3.6,23.9
Edgbaston,2007-07-04,52.4828,-1.8998,14.5,,22.0
Queens Sports Club,2016-11-23,-20.1692,28.5869,,,
"National Cricket Stadium, St George's",2007-04-10,12.0536,-61.7535,27.6,,24.6
Dubai International Cricket Stadium,2018-09-15,18.9389,72.8258,27.7,0.5,3.0
Kingsmead,2011-01-12,-29.8567,31.0269,23.2,3.3,11.4
The Rose Bowl,2016-08-24,34.1425,-118.1097,23.5,0.0,9.0
Adelaide Oval,2009-01-26,-34.9285,138.6007,26.1,0.0,13.3
Harare Sports Club,2014-08-27,-17.815,31.0456,18.3,,
"Sabina Park, Kingston",2013-06-30,18.4814,-76.8008,,,
Shere Bangla National Stadium,2012-03-16,23.75,90.4,26.8,,7.7
New Wanderers Stadium,2016-10-02,-18.9389,30.7545,,,
County Ground,2019-06-13,51.4729997747,-2.58382433136,12.8,,16.0
Pallekele International Cricket Stadium,2024-10-23,7.4833,80.65,24.6,3.6,11.6
Providence Stadium,2018-07-25,18.9389,72.8258,28.6,1.0,11.6
R Premadasa Stadium,2015-07-22,6.9269,79.8612,28.5,0.0,
"Sportpark Westvliet, The Hague",2022-08-26,52.0708,4.2939,19.3,0.0,17.5
"Shere Bangla National Stadium, Mirpur",2018-01-25,23.8233,90.3917,19.9,0.0,
Sheikh Zayed Stadium,2018-11-07,24.4361,54.3896,27.6,,8.7
"Wanderers Cricket Ground, Windhoek",2022-11-26,-22.5728,17.0811,25.7,0.0,10.6
"MA Chidambaram Stadium, Chepauk",2007-06-10,13.0484,80.2116,30.8,,
Kingsmead,2018-02-01,-29.8567,31.0269,22.6,23.9,12.0
Shere Bangla National Stadium,2010-01-11,23.75,90.4,17.5,,11.8
Rawalpindi Cricket Stadium,2004-03-16,33.5833,73.05,24.1,0.0,7.4
Providence Stadium,2007-03-28,18.9389,72.8258,30.3,,
Providence Stadium,2009-03-22,18.9389,72.8258,28.6,,
"National Cricket Stadium, St George's",2007-04-20,12.0536,-61.7535,28.1,,25.5
"Wankhede Stadium, Mumbai",2023-10-24,18.9389,72.8258,29.5,0.0,1.1
"Sabina Park, Kingston",2012-07-07,18.4814,-76.8008,,,
Shere Bangla National Stadium,2015-11-07,23.75,90.4,25.2,0.0,
